model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 Fiesta,2017,8788,0,15612,2,145,65.7,1
 Fiesta,2018,12251,0,8920,2,145,58.9,1
 Kuga,2017,16320,0,24803,0,145,60.1,2
 Fiesta,2019,13140,0,7,2,145,48.7,1.1
 Fiesta,2018,10491,1,43019,2,145,48.7,1
 Kuga,2016,13870,1,41607,0,145,54.3,2
 Focus,2017,14960,0,23554,2,145,41.5,2
 Fiesta,2019,13540,0,6923,2,145,58.9,1
 Focus,2019,17970,0,10985,0,145,74.3,1.5
 C-MAX,2017,9330,0,29617,0,20,68.9,1.5
 Fiesta,2016,6000,0,47613,2,0,65.7,1
 Ka+,2019,8995,0,5122,2,145,43.5,1.2
 Ka+,2019,8495,0,32,2,145,48.7,1.2
 Fiesta,2016,6395,0,31562,2,125,54.3,1.2
 Focus,2019,14495,0,8131,2,145,58.9,1
 Tourneo Custom,2018,19995,2,24568,0,145,31.7,2
 S-MAX,2017,18495,2,39605,0,145,54.3,2
 Focus,2019,17995,0,11496,0,145,57.6,2
 Fiesta,2013,5495,0,51271,2,30,54.3,1.2
 Kuga,2018,16995,2,7189,0,145,58.9,1.5
 Kuga,2018,16495,0,29428,0,145,54.3,1.5
 Kuga,2018,17998,0,12162,2,145,39.2,1.5
 B-MAX,2014,7498,1,33023,2,160,44.1,1.6
 Focus,2019,17498,0,2714,2,150,49.6,1
 S-MAX,2017,17498,0,17051,0,150,56.5,2
 Fiesta,2013,5998,0,44304,0,0,76.4,1.5
 Kuga,2019,17698,0,4844,2,145,34.4,1.5
 Kuga,2016,11000,0,31810,0,125,60.1,2
 EcoSport,2017,8700,0,43081,2,145,44.8,1.5
 Kuga,2017,15300,0,47159,0,145,54.3,2
 Fiesta,2013,7490,0,25000,2,0,65.7,1
 Focus,2017,10760,0,29891,2,145,60.1,1
 Kuga,2019,18760,0,10237,2,145,39.2,1.5
 Fiesta,2014,6360,0,48653,2,0,65.7,1
 Fiesta,2014,6270,0,60888,2,0,65.7,1
 Kuga,2017,17920,2,15815,2,235,38.2,1.5
 Fiesta,2013,4790,0,74128,2,0,65.7,1
 Focus,2015,7830,0,50124,0,0,74.3,1.5
 Fiesta,2015,6990,0,29851,0,0,76.4,1.5
 Edge,2016,18640,0,24105,0,160,48.7,2
 Fiesta,2015,6700,0,28935,2,30,54.3,1.2
 Fiesta,2018,9498,0,30925,2,145,65.7,1
 Focus,2018,13698,0,13418,2,145,58.9,1
 Fiesta,2018,13298,0,13756,2,145,58.9,1
 Kuga,2015,14398,0,25175,0,145,54.3,2
 Fiesta,2017,8998,0,21267,2,145,64.2,1.1
 Fiesta,2019,12698,0,12130,2,145,56.5,1
 Fiesta,2019,11998,0,17354,2,145,56.5,1
 Fiesta,2019,13498,0,15822,2,145,58.9,1
 Fiesta,2019,13498,0,10557,2,145,58.9,1
 Focus,2016,9698,0,20786,2,20,61.4,1
 Focus,2016,24995,0,7997,2,235,36.7,2.3
 Fiesta,2017,9895,0,19079,2,145,65.7,1
 Fiesta,2018,12995,0,14979,2,145,58.9,1
 Tourneo Connect,2015,9295,0,47904,0,125,56.5,1.6
 Fiesta,2016,8495,0,24410,2,125,54.3,1.2
 Fiesta,2019,13895,0,13600,2,145,58.9,1
 Focus,2018,18298,0,21456,0,145,67.3,2
 Focus,2015,9198,0,31512,0,0,74.3,1.5
 Fiesta,2016,10798,0,11843,2,0,65.7,1
 Fiesta,2016,8998,0,31373,2,0,65.7,1
 Kuga,2018,18498,0,7796,0,145,54.3,1.5
 Kuga,2017,13498,0,26597,0,145,54.3,2
 Kuga,2017,14998,0,15978,0,30,64.2,1.5
 Kuga,2017,13998,2,13265,2,240,38.2,1.5
 EcoSport,2016,9998,0,20491,2,125,52.3,1
 Tourneo Connect,2017,10998,0,16310,2,125,50.4,1
 Focus,2017,17698,0,14557,2,145,41.5,2
 Focus,2017,11498,1,30917,2,125,51.4,1
 Focus,2017,12798,0,22153,0,145,74.3,1.5
 C-MAX,2015,8698,0,31743,2,30,55.4,1
 Kuga,2019,19495,0,13673,0,145,47.9,2
 Fiesta,2018,9995,0,25776,2,145,65.7,1
 Focus,2016,10995,0,30923,0,0,74.3,1.5
 Kuga,2017,13998,0,24504,0,150,64.2,1.5
 Fiesta,2017,11998,0,6568,2,145,62.8,1
 Tourneo Connect,2016,8998,0,42960,0,30,61.4,1.5
 Kuga,2018,16698,0,5117,0,145,54.3,1.5
 EcoSport,2016,8998,0,31736,2,125,53.3,1
 Fiesta,2015,7998,0,19212,2,0,65.7,1
 Fiesta,2018,12495,0,12426,2,145,65.7,1
 Ka+,2017,7995,0,12872,2,145,57.7,1.2
 Puma,2020,21995,0,4111,2,145,50.4,1
 Kuga,2018,16995,0,34690,0,145,60.1,2
 Fiesta,2018,11995,0,32168,2,145,65.7,1
 Kuga,2019,19995,0,11312,0,145,47.9,2
 Fiesta,2017,8995,0,31559,2,145,65.7,1
 Ka+,2017,8295,0,23000,2,145,57.7,1.2
 EcoSport,2018,14698,0,6442,2,145,54.3,1
 Fiesta,2016,10498,1,29590,2,0,57.7,1
 Focus,2018,14495,0,17030,2,145,57.7,1
 Focus,2016,8995,0,22493,2,20,60.1,1
 Focus,2016,15995,0,29600,0,20,67.3,2
 C-MAX,2016,10995,1,26500,0,125,58.9,2
 Tourneo Custom,2017,19995,0,14000,0,200,44.8,2
 C-MAX,2013,8295,0,34783,0,30,61.4,1.6
 Focus,2015,7995,0,56655,0,20,67.3,1.6
 Kuga,2019,19995,0,16000,0,150,47.9,2
 Mondeo,2015,9995,0,30753,0,0,78.5,1.5
 Grand C-MAX,2018,13495,0,1030,2,145,47.9,1
 C-MAX,2017,12995,0,7817,2,145,55.4,1
 Focus,2018,12995,0,9781,2,145,60.1,1
 EcoSport,2018,12998,0,17241,2,145,54.3,1
 Tourneo Connect,2015,10298,0,28309,0,125,58.9,1.6
 Fiesta,2017,10498,0,50599,2,0,65.7,1
 Focus,2018,11298,1,37880,0,150,74.3,1.5
 Kuga,2016,10698,0,56888,0,125,60.1,2
 Focus,2018,15995,0,10500,2,145,60.1,1
 B-MAX,2014,6995,1,50800,2,160,44.1,1.6
 Fiesta,2019,13950,0,6700,2,145,58.9,1
 Fiesta,2017,10650,0,31800,2,150,65.7,1
 Fiesta,2016,7995,0,20700,2,125,54.3,1.2
 Focus,2016,11495,0,29900,0,0,74.3,1.5
 Kuga,2018,16995,0,32858,0,145,54.3,2
 Fiesta,2018,11995,0,31593,2,145,65.7,1
 Focus,2015,10995,0,13791,2,125,51.4,1.5
 Kuga,2019,20495,0,12034,0,145,47.9,2
 Focus,2018,19995,0,10923,0,145,67.3,2
 Kuga,2019,19995,0,10171,0,145,38.2,2
 Focus,2016,10995,0,30923,0,0,74.3,1.5
 EcoSport,2019,18995,0,2291,2,145,52.3,1
 Focus,2017,11995,0,23469,2,125,51.4,1.5
 Kuga,2017,16998,0,13626,0,125,60.1,2
 Fiesta,2016,7398,0,35180,2,125,54.3,1.2
 Fiesta,2019,11498,0,17708,2,145,58.9,1
 Fiesta,2019,13998,0,9957,2,145,58.9,1
 Focus,2019,16698,0,4542,2,145,60.1,1
 Mondeo,2016,9998,0,38358,0,0,78.5,1.5
 Focus,2015,12998,0,25878,0,20,67.3,2
 EcoSport,2016,9998,1,18325,2,160,44.8,1.5
 Focus,2017,12498,0,9338,2,145,60.1,1
 EcoSport,2018,14998,0,7133,0,145,58.9,1.5
 Focus,2017,10498,0,42002,2,20,60.1,1
 Kuga,2017,16995,2,3700,2,145,38.2,1.5
 Focus,2019,15495,0,5600,2,145,60.1,1
 Fiesta,2015,9495,0,17288,2,0,65.7,1
 B-MAX,2013,5995,0,42996,0,20,70.6,1.6
 Focus,2014,7498,0,47566,2,30,56.5,1
 Fiesta,2017,11798,0,4262,2,0,65.7,1
 Fiesta,2017,10998,0,10125,2,145,65.7,1
 Focus,2017,14998,2,17028,2,150,46.3,1.5
 Fiesta,2017,8998,0,12753,2,145,54.3,1.2
 Focus,2016,13998,0,24895,0,20,67.3,2
 Focus,2017,17998,0,9066,2,145,41.5,2
 Fiesta,2019,18998,0,3292,2,145,40.3,1.5
 Kuga,2013,9198,1,48130,0,200,45.6,2
 Kuga,2015,14498,0,27513,0,145,54.3,2
 Focus,2017,14998,0,32511,2,150,41.5,2
 Fiesta,2016,8498,0,21888,2,125,54.3,1.2
 Fiesta,2019,13995,0,11130,2,145,58.9,1
 Focus,2017,18498,0,14441,2,145,41.5,2
 Focus,2018,13998,0,13401,2,145,60.1,1
 Fiesta,2019,12798,0,10567,2,145,58.9,1
 Fiesta,2019,14698,0,7872,2,145,58.9,1
 Ka+,2017,7698,0,10641,2,30,57.7,1.2
 EcoSport,2018,12498,0,10222,2,145,54.3,1
 Fiesta,2017,9998,0,28519,2,20,62.8,1
 Kuga,2017,13998,0,51772,0,125,60.1,2
 Fiesta,2016,9500,2,7350,2,0,57.7,1
 Ka+,2018,8195,0,12231,2,145,47.9,1.2
 Kuga,2019,21498,2,5354,2,150,31,1.5
 Focus,2017,17998,0,19525,2,145,41.5,2
 EcoSport,2018,14498,0,11922,2,145,54.3,1
 C-MAX,2016,9998,0,16984,0,20,68.9,1.5
 Fiesta,2016,7998,0,16070,2,125,54.3,1.2
 Focus,2018,10998,0,26648,2,145,61.4,1
 Fiesta,2017,10998,0,19140,2,145,62.8,1
 Focus,2016,9998,0,26399,0,0,74.3,1.5
 Fiesta,2013,5498,0,53545,2,30,54.3,1.2
 Fiesta,2017,9298,0,25491,2,0,65.7,1
 Fiesta,2014,7298,0,31359,2,0,65.7,1
 Focus,2016,8498,0,51656,0,0,74.3,1.5
 Kuga,2016,17698,1,11221,0,145,54.3,2
 Kuga,2017,14498,0,23356,0,145,60.1,2
 EcoSport,2018,12898,0,15267,2,145,53.3,1
 B-MAX,2017,7998,0,41294,0,0,74.4,1.5
 C-MAX,2018,12198,0,7993,2,145,49.6,1
 EcoSport,2017,9698,0,30207,2,145,53.3,1
 Fiesta,2016,8798,0,19815,2,0,65.7,1
 Kuga,2015,14298,0,43717,0,145,54.3,2
 Focus,2018,15798,0,4534,2,145,58.9,1
 Fiesta,2017,10298,0,9148,2,145,65.7,1
 KA,2014,4898,0,22609,2,30,57.7,1.2
 Focus,2016,10298,0,15510,0,0,74.3,1.5
 Fiesta,2017,9998,0,20347,2,0,65.7,1
 Kuga,2018,16698,0,3044,2,145,39.2,1.5
 Fiesta,2017,8998,0,5233,2,125,54.3,1.2
 Grand C-MAX,2015,8998,0,28359,0,125,60.1,1.6
 Focus,2017,12498,1,12244,2,125,51.4,1
 Fiesta,2018,12498,0,17918,2,145,65.7,1
 S-MAX,2020,34498,1,4623,0,145,43.5,2
 EcoSport,2017,9298,0,16770,2,145,44.8,1.5
 Focus,2017,10900,0,25459,2,145,60.1,1
 EcoSport,2017,9998,0,23913,2,125,53.3,1
 Fiesta,2018,12998,0,9901,2,150,65.7,1
 Focus,2016,10998,1,15006,2,125,51.4,1
 Focus,2017,15500,0,19593,2,145,41.5,2
 Kuga,2017,16200,1,23027,0,145,58.9,1.5
 C-MAX,2016,10500,1,13580,0,20,64.2,1.5
 Focus,2015,13200,0,32000,0,20,67.3,2
 Focus,2019,18698,0,15365,2,145,60.1,1
 Focus,2019,16998,0,7924,0,145,80.7,1.5
 Fiesta,2017,9998,0,10721,2,145,65.7,1
 EcoSport,2017,9498,0,25939,2,145,53.3,1
 Fiesta,2019,17498,0,3265,2,145,58.9,1
 Focus,2019,15998,2,11045,2,145,41.5,1
 EcoSport,2020,17998,0,250,2,145,51.4,1
 B-MAX,2013,5698,0,44901,2,145,47.1,1.4
 Focus,2017,9998,0,22001,2,20,60.1,1
 Fiesta,2020,17298,0,4563,2,145,54.3,1
 Fiesta,2019,16998,0,12236,2,145,55.4,1
 Kuga,2019,23998,0,7584,0,145,39.2,2
 Fiesta,2013,6498,0,41599,2,0,65.7,1
 Grand C-MAX,2017,12498,0,10373,2,145,54.3,1
 Fiesta,2013,4998,0,79300,2,0,65.7,1
 C-MAX,2017,11498,0,12982,2,30,55.4,1
 Focus,2017,11298,0,24386,0,0,74.3,1.5
 EcoSport,2017,9298,0,18209,0,30,64.2,1.5
 EcoSport,2018,12998,0,9796,2,145,54.3,1
 Fiesta,2018,14498,0,9428,2,145,62.8,1
 Galaxy,2016,18498,0,30528,0,125,56.5,2
 C-MAX,2016,8498,0,41772,2,30,55.4,1
 Fiesta,2015,8298,0,15673,2,0,65.7,1
 Focus,2015,8498,0,47219,0,0,74.3,1.5
 Focus,2018,12998,0,16081,2,150,57.7,1
 Focus,2019,16998,0,10476,2,145,60.1,1
 Fiesta,2016,9998,0,16647,2,0,65.7,1
 Kuga,2017,13698,0,41457,0,150,54.3,2
 Focus,2017,13998,1,4735,2,125,51.4,1
 EcoSport,2016,9498,0,24045,2,125,53.3,1
 EcoSport,2019,15984,0,6500,2,145,51.4,1
 EcoSport,2017,8489,0,60190,2,160,44.8,1.5
 Fiesta,2017,9995,0,27000,0,0,78.5,1.5
 Fiesta,2017,8498,0,32538,2,0,65.7,1
 Kuga,2016,13498,0,36345,0,150,54.3,2
 Focus,2016,8998,0,43623,2,20,61.4,1
 Kuga,2013,9998,1,58500,0,200,45.6,2
 Kuga,2017,17498,0,15729,0,145,54.3,2
 Fiesta,2018,9998,0,7892,2,145,65.7,1
 Fiesta,2017,11990,0,24725,2,145,47.9,1.6
 Focus,2019,16899,0,7000,0,145,80.7,1.5
 EcoSport,2019,15984,0,3500,2,145,51.4,1
 EcoSport,2019,15984,0,4500,2,145,51.4,1
 EcoSport,2019,15984,0,4000,2,145,51.4,1
 EcoSport,2019,13998,0,4889,0,145,68.9,1.5
 Kuga,2017,17994,0,20633,0,150,54.3,2
 Galaxy,2016,17489,1,47937,0,165,51.4,2
 Kuga,2018,19899,1,28500,0,145,54.3,2
 Fiesta,2014,4699,0,85000,2,30,54.3,1.2
 EcoSport,2017,9949,0,23000,2,125,53.3,1
 C-MAX,2017,11498,0,9995,2,145,55.4,1
 C-MAX,2017,10898,0,12626,2,30,55.4,1
 C-MAX,2018,12998,0,7320,2,145,55.4,1
 C-MAX,2019,13498,0,23394,2,145,48.7,1
 C-MAX,2017,9998,0,12932,0,20,68.9,1.5
 Focus,2019,18998,2,22246,0,150,64.2,2
 Fiesta,2019,11798,0,5530,2,150,48.7,1.1
 Fiesta,2019,11798,0,4590,2,150,48.7,1.1
 Fiesta,2017,8498,0,28479,2,0,65.7,1
 Kuga,2013,8998,0,67895,0,200,47.9,2
 Focus,2019,14799,0,6249,2,145,60.1,1
 Focus,2019,14799,0,8560,2,145,60.1,1
 Mustang,2020,42489,2,3500,2,145,22.1,5
 Kuga,2017,17498,0,9940,2,145,45.6,1.5
 Focus,2019,16498,0,4930,2,145,60.1,1
 Focus,2018,19698,0,12011,2,145,41.5,2
 Fiesta,2016,8498,0,23053,2,125,54.3,1.2
 Focus,2016,16998,0,17589,2,200,41.5,2
 Focus,2019,14998,0,7000,2,145,58.9,1
 Grand Tourneo Connect,2019,19999,0,3500,0,145,61.4,1.5
 Kuga,2019,20999,2,5500,0,145,47.9,2
 Focus,2019,14998,0,7000,2,145,60.1,1
 Focus,2019,14998,0,7000,2,145,58.9,1
 EcoSport,2019,13998,0,5000,0,145,68.9,1.5
 Kuga,2017,13898,0,33026,0,145,60.1,2
 Fiesta,2016,11498,0,8560,2,0,65.7,1
 Focus,2018,19698,0,16548,2,145,41.5,2
 Focus,2017,10498,0,49485,0,0,74.3,1.5
 Mondeo,2017,17498,1,14569,0,145,53.3,2
 Kuga,2015,12498,0,60151,0,145,54.3,2
 Focus,2017,11498,0,9148,2,145,61.4,1
 Fiesta,2017,10998,0,13548,2,0,65.7,1
 Mondeo,2019,22998,2,7337,1,140,47.1,2
 Fiesta,2015,8498,0,6649,2,125,54.3,1.2
 Focus,2017,11998,0,7690,2,150,60.1,1
 Fiesta,2019,11898,0,3396,2,150,48.7,1.1
 Fiesta,2019,11498,0,15766,2,145,58.9,1
 Fiesta,2019,13298,0,7349,2,145,58.9,1
 C-MAX,2016,9698,0,36860,0,20,68.9,1.5
 EcoSport,2018,10498,0,59498,0,145,68.9,1.5
 Kuga,2015,10998,0,17367,0,125,60.1,2
 Fiesta,2017,9598,0,14403,2,145,64.2,1.1
 Focus,2019,16998,0,20647,2,145,60.1,1
 Fiesta,2019,13498,0,13351,2,145,58.9,1
 Fiesta,2016,6998,0,34804,2,125,54.3,1.2
 Kuga,2017,15498,0,38113,0,125,60.1,2
 Fiesta,2018,9949,0,27399,2,145,64.2,1.1
 C-MAX,2018,12998,0,2455,0,145,68.9,1.5
 Edge,2016,20799,2,52000,0,200,47.9,2
 Mustang,2020,38489,2,3500,2,145,30.7,2.3
 Fiesta,2018,9489,0,35417,2,145,64.2,1.1
 Fiesta,2019,13949,1,11982,2,145,48.7,1
 Fiesta,2018,10990,0,28138,2,145,56.5,1
 Kuga,2017,13489,0,34805,0,145,54.3,2
 Focus,2015,7994,0,64612,0,20,67.3,1.6
 Fiesta,2018,11489,0,19665,2,145,60.1,1
 Kuga,2018,15699,0,17500,0,150,64.2,1.5
 Focus,2020,19998,0,4000,0,145,74.3,1.5
 Focus,2020,19489,0,5000,0,145,74.3,1.5
 Focus,2019,14998,0,7000,2,145,58.9,1
 EcoSport,2016,9199,0,26445,0,30,64.2,1.5
 C-MAX,2017,10489,0,26445,0,20,68.9,1.5
 EcoSport,2018,11489,0,2922,0,145,64.2,1.5
 Mustang,2018,29998,2,3000,2,145,28.8,2.3
 Mustang,2018,31498,2,6250,2,145,23.5,5
 Focus,2018,11999,0,6691,2,145,61.4,1
 Grand Tourneo Connect,2018,15990,2,9486,0,145,56.6,1.5
 Focus,2019,16998,2,8703,2,145,40.9,1.5
 EcoSport,2019,15489,0,5636,0,145,68.9,1.5
 S-MAX,2019,22489,0,8224,0,145,56.5,2
 S-MAX,2019,22489,0,4000,0,145,56.5,2
 Fiesta,2015,5998,0,55898,0,0,78.5,1.5
 Focus,2017,10998,0,28001,2,145,60.1,1
 Kuga,2014,11498,0,36052,0,160,47.9,2
 Mustang,2016,24999,1,42086,2,570,23.5,5
 Kuga,2017,15298,0,34673,0,125,60.1,2
 Edge,2018,19498,0,22068,0,145,48.7,2
 Focus,2019,16998,0,19936,2,145,60.1,1
 Grand Tourneo Connect,2017,13998,0,4856,0,145,61.4,1.5
 B-MAX,2017,11298,1,1397,2,165,44.1,1.6
 Focus,2017,13398,2,21649,2,145,46.3,1.5
 Focus,2017,17798,0,10345,2,145,41.5,2
 Kuga,2018,14998,0,14960,0,145,64.2,1.5
 Focus,2015,13998,0,35689,2,205,41.5,2
 EcoSport,2017,9189,0,31998,2,145,44.8,1.5
 Fiesta,2018,10399,0,7200,2,145,65.7,1
 Edge,2017,23899,2,27146,0,145,47.9,2
 Fiesta,2013,5330,0,66937,2,30,54.3,1.2
 EcoSport,2019,15985,0,5099,2,145,51.4,1
 Fiesta,2015,7485,0,11092,2,125,54.3,1.2
 Kuga,2019,21999,2,6000,2,145,29.1,1.5
 Fiesta,2017,10850,0,23634,2,150,65.7,1
 Kuga,2019,23250,1,9931,0,145,38.7,2
 Fiesta,2016,7999,0,22633,2,0,65.7,1
 Ka+,2018,7999,0,9355,2,145,57.7,1.2
 Kuga,2013,7999,0,78170,0,200,47.9,2
 Focus,2016,9699,0,13480,2,20,60.1,1
 Mustang,2019,39998,2,5000,2,145,22.6,5
 Fiesta,2017,8500,0,15060,2,125,54.3,1.2
 Fiesta,2016,9998,0,18912,2,0,65.7,1
 Focus,2019,15995,0,6992,2,145,60.1,1
 Fiesta,2017,11495,0,17766,2,145,65.7,1
 Fiesta,2019,14698,0,8725,2,145,58.9,1
 Fiesta,2016,9998,0,6820,2,0,65.7,1
 Kuga,2013,9498,0,29326,0,200,47.9,2
 Fiesta,2017,10698,1,11235,2,0,57.7,1
 Kuga,2016,13499,0,38687,0,145,54.3,2
 Kuga,2017,15999,0,15005,0,145,54.3,2
 Kuga,2017,17299,0,14224,0,145,54.3,2
 Focus,2019,14198,0,20205,2,150,58.9,1
 EcoSport,2016,10898,0,13093,2,125,52.3,1
 Fiesta,2019,17298,1,1434,2,150,48.7,1
 B-MAX,2013,5998,1,44582,2,165,44.1,1.6
 Mondeo,2015,9998,0,55621,0,30,64.2,2
 Ka+,2017,6998,0,21203,2,30,57.7,1.2
 Focus,2017,16698,0,24498,0,145,67.3,2
 Focus,2018,17298,0,3124,2,145,60.1,1
 Kuga,2017,15498,0,31073,0,125,60.1,2
 Kuga,2017,14298,0,6345,0,145,54.3,2
 C-MAX,2016,9998,0,26138,0,20,68.9,1.5
 Kuga,2019,22998,0,593,0,145,47.9,2
 Focus,2018,11598,0,11654,2,145,61.4,1
 Fiesta,2018,10498,0,17532,2,145,65.7,1
 EcoSport,2017,8698,0,36124,2,160,44.8,1.5
 Focus,2017,17498,0,13558,2,200,41.5,2
 EcoSport,2018,12499,0,13000,0,145,67.3,1.5
 Ka+,2018,9250,0,7812,2,145,47.9,1.2
 Focus,2017,16250,0,28113,0,145,67.3,2
 EcoSport,2017,9999,0,24130,2,150,52.3,1
 Focus,2017,10999,0,23973,2,150,60.1,1
 Kuga,2019,18494,0,11858,0,145,38.2,2
 Fiesta,2019,13489,1,26799,2,145,48.7,1
 Fiesta,2014,6995,0,35084,2,0,65.7,1
 Fiesta,2018,11995,0,12080,2,150,65.7,1
 Fiesta,2017,10498,0,9621,2,145,65.7,1
 Focus,2017,11300,0,13300,2,145,60.1,1
 Fiesta,2018,11800,0,14024,2,145,62.8,1
 Focus,2017,10800,0,17668,2,145,60.1,1
 Fiesta,2016,8300,0,43121,2,0,65.7,1
 Focus,2018,18499,0,14682,2,145,41.5,2
 Focus,2014,6800,0,53500,2,30,56.5,1
 Kuga,2018,17000,0,15513,2,145,45.6,1.5
 Fiesta,2017,8998,0,16701,0,0,78.5,1.5
 Fiesta,2014,5698,0,51892,2,30,54.3,1.2
 EcoSport,2017,8998,0,20648,2,160,44.8,1.5
 Kuga,2016,14998,0,38206,0,145,54.3,2
 Kuga,2017,18500,0,13692,0,145,54.3,2
 Kuga,2019,19298,0,12287,2,145,39.2,1.5
 Kuga,2014,10798,0,49989,0,160,47.9,2
 Focus,2019,15998,0,12699,2,145,60.1,1
 Fiesta,2015,7298,0,36700,2,0,65.7,1
 EcoSport,2017,10298,0,25013,2,150,53.3,1
 Fiesta,2017,10698,0,16505,2,0,65.7,1
 Fiesta,2019,13998,0,5887,2,145,58.9,1
 Kuga,2013,8298,0,63508,0,145,53.3,2
 Focus,2016,8998,0,36087,0,0,74.3,1.5
 C-MAX,2016,11298,0,11117,2,30,55.4,1
 Grand C-MAX,2016,10498,0,17197,0,30,64.2,1.5
 Kuga,2013,8995,0,54000,0,145,53.3,2
 Fiesta,2015,7895,0,27541,2,0,65.7,1
 Focus,2018,18390,0,14682,2,145,41.5,2
 Ka+,2018,7795,0,9662,2,145,57.7,1.2
 Focus,2017,10795,0,22727,2,20,60.1,1
 Focus,2019,18298,2,6269,0,145,74.3,1.5
 B-MAX,2015,7698,0,9708,0,20,70.6,1.6
 Kuga,2017,17698,0,18075,0,145,54.3,2
 Kuga,2017,16998,0,24885,0,145,54.3,2
 C-MAX,2018,12698,0,3074,2,145,55.4,1
 Fiesta,2016,10698,0,22141,0,0,78.5,1.5
 Kuga,2013,9998,1,43938,0,205,45.6,2
 Kuga,2017,14498,0,6038,0,150,54.3,2
 Fiesta,2017,8998,0,20277,2,0,65.7,1
 C-MAX,2017,11998,0,15297,0,20,68.9,1.5
 Focus,2019,14000,0,11426,2,150,58.9,1
 EcoSport,2019,16250,0,2951,2,150,52.3,1
 Fiesta,2017,9700,0,28186,2,0,65.7,1
 Kuga,2013,9998,0,38629,2,200,42.8,1.6
 Grand C-MAX,2017,10998,0,14161,0,30,64.2,1.5
 Galaxy,2016,15498,0,27716,0,125,56.5,2
 B-MAX,2013,5489,0,41144,0,20,68.9,1.5
 Kuga,2019,18999,0,9695,0,145,54.3,1.5
 Fiesta,2016,8449,0,79125,2,145,47.9,1.6
 C-MAX,2016,8699,0,46040,0,30,61.4,1.6
 C-MAX,2017,10489,0,37972,0,20,68.9,1.5
 Kuga,2017,12489,0,36394,0,145,64.2,1.5
 Kuga,2017,13698,0,78636,0,145,64.2,1.5
 Focus,2018,18498,0,21167,0,145,67.3,2
 B-MAX,2015,7298,0,36140,0,0,74.4,1.5
 Focus,2017,9998,0,13861,2,145,60.1,1
 Kuga,2017,17498,0,22439,0,145,54.3,2
 S-MAX,2017,18999,0,42500,0,125,51.4,2
 EcoSport,2017,9489,0,29500,2,145,52.3,1
 Edge,2017,20994,2,41000,0,145,48.7,2
 C-MAX,2018,11998,0,6484,0,145,68.9,1.5
 Fiesta,2014,6250,0,39223,2,30,54.3,1.2
 Fiesta,2014,5950,0,64327,0,0,76.4,1.5
 Focus,2017,10900,0,13338,0,0,74.3,1.5
 Focus,2017,11200,0,15121,2,20,58.9,1
 Focus,2017,9250,0,38541,2,20,60.1,1
 Fiesta,2018,10300,0,9542,2,145,65.7,1
 C-MAX,2019,13000,0,3629,2,145,49.6,1
 Focus,2016,7000,0,82616,0,0,74.3,1.5
 Fiesta,2015,9200,0,21261,2,0,65.7,1
 S-MAX,2019,24995,0,10023,0,150,54.3,2
 Fiesta,2016,8298,0,22919,2,0,65.7,1
 C-MAX,2017,9298,0,41697,0,20,68.9,1.5
 Focus,2019,16698,0,18697,2,145,60.1,1
